Parágrafo,Polaridade,Classificação,Palavras_totais,Nº_positivas,Nº_negativas,Ratio_posi,Ratio_neg
1,0.024,NEUTRAL,4,0,0,0.0,0.0
2,0.026,NEUTRAL,3,0,0,0.0,0.0
3,0.06,POSITIVE,1,0,0,0.0,0.0
4,0.181,POSITIVE,20,4,0,0.2,0.0
5,0.026,NEUTRAL,2,0,0,0.0,0.0
6,0.021,NEUTRAL,10,0,0,0.0,0.0
7,0.636,POSITIVE,4,3,0,0.75,0.0
8,0.021,NEUTRAL,4,0,0,0.0,0.0
9,0.038,NEUTRAL,4,0,0,0.0,0.0
10,0.057,POSITIVE,29,3,1,0.103,0.034
11,0.103,POSITIVE,26,3,1,0.115,0.038
12,0.883,POSITIVE,19,17,0,0.895,0.0
13,0.066,POSITIVE,42,5,2,0.119,0.048
14,0.013,NEUTRAL,11,0,0,0.0,0.0
15,0.901,POSITIVE,43,39,0,0.907,0.0
16,0.017,NEUTRAL,9,0,0,0.0,0.0
17,0.235,POSITIVE,32,10,2,0.312,0.062
18,0.002,NEUTRAL,20,1,0,0.05,0.0
19,0.037,NEUTRAL,4,0,0,0.0,0.0
20,0.905,POSITIVE,6,6,0,1.0,0.0
21,0.124,POSITIVE,82,15,5,0.183,0.061
22,0.01,NEUTRAL,15,1,0,0.067,0.0
23,0.775,POSITIVE,41,33,1,0.805,0.024
24,0.015,NEUTRAL,17,1,0,0.059,0.0
25,0.263,POSITIVE,38,13,3,0.342,0.079
26,-0.028,NEUTRAL,21,0,1,0.0,0.048
27,0.794,POSITIVE,70,58,3,0.829,0.043
28,0.027,NEUTRAL,18,1,0,0.056,0.0
29,0.933,POSITIVE,55,52,0,0.945,0.0
30,0.062,POSITIVE,16,2,1,0.125,0.062
31,-0.092,NEGATIVE,12,1,2,0.083,0.167
32,-0.019,NEUTRAL,24,1,2,0.042,0.083
33,-0.163,NEGATIVE,6,0,1,0.0,0.167
34,0.05,NEUTRAL,37,5,3,0.135,0.081
35,0.974,POSITIVE,67,66,0,0.985,0.0
36,0.021,NEUTRAL,21,1,1,0.048,0.048
37,0.513,POSITIVE,48,28,3,0.583,0.062
38,0.045,NEUTRAL,19,2,1,0.105,0.053
39,0.053,POSITIVE,48,9,7,0.188,0.146
40,0.208,POSITIVE,13,3,0,0.231,0.0
41,0.953,POSITIVE,52,50,0,0.962,0.0
42,0.022,NEUTRAL,8,0,0,0.0,0.0
43,0.969,POSITIVE,54,53,0,0.981,0.0
44,-0.0,NEUTRAL,13,0,0,0.0,0.0
45,0.464,POSITIVE,23,11,1,0.478,0.043
46,-0.005,NEUTRAL,17,0,0,0.0,0.0
47,0.005,NEUTRAL,57,7,6,0.123,0.105
48,0.052,POSITIVE,3,0,0,0.0,0.0
49,-0.032,NEUTRAL,56,2,4,0.036,0.071
50,0.01,NEUTRAL,2,0,0,0.0,0.0
51,0.004,NEUTRAL,4,0,0,0.0,0.0
52,0.22,POSITIVE,15,5,1,0.333,0.067
53,0.001,NEUTRAL,4,0,0,0.0,0.0
54,0.078,POSITIVE,16,2,0,0.125,0.0
55,-0.026,NEUTRAL,5,0,0,0.0,0.0
56,-0.032,NEUTRAL,12,0,1,0.0,0.083
57,-0.003,NEUTRAL,9,0,0,0.0,0.0
58,0.117,POSITIVE,7,1,1,0.143,0.143
59,0.332,POSITIVE,7,3,0,0.429,0.0
60,-0.124,NEGATIVE,5,0,1,0.0,0.2
61,0.149,POSITIVE,5,1,0,0.2,0.0
62,0.049,NEUTRAL,19,3,2,0.158,0.105
63,-0.0,NEUTRAL,5,0,0,0.0,0.0
64,0.111,POSITIVE,12,2,1,0.167,0.083
65,0.137,POSITIVE,5,1,0,0.2,0.0
66,0.281,POSITIVE,14,5,1,0.357,0.071
67,0.007,NEUTRAL,6,0,0,0.0,0.0
68,0.015,NEUTRAL,4,0,0,0.0,0.0
69,0.001,NEUTRAL,5,0,0,0.0,0.0
70,0.033,NEUTRAL,12,1,1,0.083,0.083
71,0.01,NEUTRAL,18,1,1,0.056,0.056
72,0.851,POSITIVE,82,71,1,0.866,0.012
