Parágrafo,polaridade,classificação,palavras_totais,nºpositivas,nºnegativas,ratio_posi,ratio_neg
1,0.0,NEUTRAL,4,0,0,0.0,0.0
2,0.0,NEUTRAL,3,0,0,0.0,0.0
3,0.0,NEUTRAL,1,0,0,0.0,0.0
4,0.0,NEUTRAL,20,0,0,0.0,0.0
5,0.0,NEUTRAL,2,0,0,0.0,0.0
6,0.0,NEUTRAL,10,0,0,0.0,0.0
7,0.0,NEUTRAL,4,0,0,0.0,0.0
8,0.0,NEUTRAL,4,0,0,0.0,0.0
9,0.0,NEUTRAL,4,0,0,0.0,0.0
10,0.0,NEUTRAL,29,0,0,0.0,0.0
11,0.0,NEUTRAL,26,0,0,0.0,0.0
12,0.0,NEUTRAL,19,0,0,0.0,0.0
13,0.0,NEUTRAL,42,0,0,0.0,0.0
14,0.0,NEUTRAL,11,0,0,0.0,0.0
15,0.0,NEUTRAL,43,0,0,0.0,0.0
16,0.0,NEUTRAL,9,0,0,0.0,0.0
17,0.0,NEUTRAL,32,0,0,0.0,0.0
18,0.0,NEUTRAL,20,0,0,0.0,0.0
19,0.0,NEUTRAL,5,0,0,0.0,0.0
20,0.0,NEUTRAL,6,0,0,0.0,0.0
21,0.0,NEUTRAL,82,0,0,0.0,0.0
22,0.0,NEUTRAL,15,0,0,0.0,0.0
23,0.0,NEUTRAL,41,0,0,0.0,0.0
24,0.0,NEUTRAL,17,0,0,0.0,0.0
25,0.0,NEUTRAL,38,0,0,0.0,0.0
26,0.0,NEUTRAL,21,0,0,0.0,0.0
27,0.014,NEUTRAL,70,1,0,0.014,0.0
28,0.0,NEUTRAL,18,0,0,0.0,0.0
29,0.0,NEUTRAL,55,0,0,0.0,0.0
30,0.0,NEUTRAL,16,0,0,0.0,0.0
31,0.0,NEUTRAL,12,0,0,0.0,0.0
32,0.0,NEUTRAL,24,0,0,0.0,0.0
33,0.0,NEUTRAL,6,0,0,0.0,0.0
34,0.0,NEUTRAL,37,0,0,0.0,0.0
35,0.0,NEUTRAL,67,0,0,0.0,0.0
36,0.0,NEUTRAL,21,0,0,0.0,0.0
37,0.0,NEUTRAL,48,0,0,0.0,0.0
38,0.0,NEUTRAL,19,0,0,0.0,0.0
39,-0.021,NEUTRAL,48,0,1,0.0,0.021
40,0.0,NEUTRAL,13,0,0,0.0,0.0
41,-0.019,NEUTRAL,52,0,1,0.0,0.019
42,0.0,NEUTRAL,8,0,0,0.0,0.0
43,0.0,NEUTRAL,54,0,0,0.0,0.0
44,0.0,NEUTRAL,13,0,0,0.0,0.0
45,0.0,NEUTRAL,23,0,0,0.0,0.0
46,0.0,NEUTRAL,17,0,0,0.0,0.0
47,0.0,NEUTRAL,57,0,0,0.0,0.0
48,0.0,NEUTRAL,3,0,0,0.0,0.0
49,0.0,NEUTRAL,55,0,0,0.0,0.0
50,0.0,NEUTRAL,2,0,0,0.0,0.0
51,0.0,NEUTRAL,4,0,0,0.0,0.0
52,0.0,NEUTRAL,15,0,0,0.0,0.0
53,0.0,NEUTRAL,4,0,0,0.0,0.0
54,0.0,NEUTRAL,16,0,0,0.0,0.0
55,0.0,NEUTRAL,5,0,0,0.0,0.0
56,0.0,NEUTRAL,12,0,0,0.0,0.0
57,0.0,NEUTRAL,9,0,0,0.0,0.0
58,0.0,NEUTRAL,7,0,0,0.0,0.0
59,0.0,NEUTRAL,7,0,0,0.0,0.0
60,0.0,NEUTRAL,5,0,0,0.0,0.0
61,0.0,NEUTRAL,5,0,0,0.0,0.0
62,0.0,NEUTRAL,19,0,0,0.0,0.0
63,0.0,NEUTRAL,5,0,0,0.0,0.0
64,0.0,NEUTRAL,12,0,0,0.0,0.0
65,0.0,NEUTRAL,5,0,0,0.0,0.0
66,0.071,POSITIVE,14,1,0,0.071,0.0
67,0.0,NEUTRAL,6,0,0,0.0,0.0
68,0.0,NEUTRAL,4,0,0,0.0,0.0
69,0.0,NEUTRAL,5,0,0,0.0,0.0
70,0.0,NEUTRAL,12,0,0,0.0,0.0
71,0.0,NEUTRAL,17,0,0,0.0,0.0
72,0.0,NEUTRAL,82,0,0,0.0,0.0
