Parágrafo,polaridade,classificação
1,0.0,NEUTRAL
2,0.0,NEUTRAL
3,0.0,NEUTRAL
4,0.0,NEUTRAL
5,0.0,NEUTRAL
6,0.0,NEUTRAL
7,0.0,NEUTRAL
8,0.0,NEUTRAL
9,0.0,NEUTRAL
10,0.0,NEUTRAL
11,0.0,NEUTRAL
12,0.0,NEUTRAL
13,0.0,NEUTRAL
14,0.0,NEUTRAL
15,0.05,NEUTRAL
16,0.0,NEUTRAL
17,0.0,NEUTRAL
18,0.0,NEUTRAL
19,0.0,NEUTRAL
20,0.0,NEUTRAL
21,0.0,NEUTRAL
22,0.0,NEUTRAL
23,0.1,POSITIVE
24,0.0,NEUTRAL
25,0.0,NEUTRAL
26,0.0,NEUTRAL
27,0.25,POSITIVE
28,0.05,NEUTRAL
29,0.0,NEUTRAL
30,0.0,NEUTRAL
31,0.0,NEUTRAL
32,0.0,NEUTRAL
33,0.0,NEUTRAL
34,0.0,NEUTRAL
35,0.0,NEUTRAL
36,0.0,NEUTRAL
37,0.05,NEUTRAL
38,0.0,NEUTRAL
39,0.0,NEUTRAL
40,0.05,NEUTRAL
41,-0.05,NEUTRAL
42,0.05,NEUTRAL
43,0.0,NEUTRAL
44,0.0,NEUTRAL
45,0.0,NEUTRAL
46,0.0,NEUTRAL
47,0.0,NEUTRAL
48,0.0,NEUTRAL
49,0.5,POSITIVE
50,0.0,NEUTRAL
51,0.0,NEUTRAL
52,0.0,NEUTRAL
53,0.0,NEUTRAL
54,0.0,NEUTRAL
55,0.0,NEUTRAL
56,0.0,NEUTRAL
57,0.0,NEUTRAL
58,0.0,NEUTRAL
59,0.0,NEUTRAL
60,0.0,NEUTRAL
61,0.0,NEUTRAL
62,0.0,NEUTRAL
63,0.0,NEUTRAL
64,0.0,NEUTRAL
65,0.0,NEUTRAL
66,0.0,NEUTRAL
67,0.0,NEUTRAL
68,0.0,NEUTRAL
69,0.0,NEUTRAL
70,0.0,NEUTRAL
71,0.0,NEUTRAL
72,0.0,NEUTRAL
